node1,node2,community,topic_similarity,temporal_similarity
0,1,0,0.9712329547113168,0.5584
1,0,0,0.9712329547113168,0.5584
2,3,1,0.0,-0.0464
3,2,1,0.0,-0.0464
4,5,1,0.0,-0.1627
5,4,1,0.0,-0.1627
6,7,1,0.8563217177527688,-0.1298
7,6,1,0.8563217177527688,-0.1298
6,8,1,0.6296185201116546,-0.0725
8,6,1,0.6296185201116546,-0.0725
6,9,1,0.6296185201116546,-0.0725
9,6,1,0.6296185201116546,-0.0725
7,8,1,0.5234690223378924,-0.0323
8,7,1,0.5234690223378924,-0.0323
7,9,1,0.5234690223378924,-0.0323
9,7,1,0.5234690223378924,-0.0323
8,9,1,0.6690251159641554,-0.0323
9,8,1,0.6690251159641554,-0.0323
3,10,1,0.6859453754003132,-0.0813
10,3,1,0.6859453754003132,-0.0813
11,12,1,0.6522292438926715,-0.0323
12,11,1,0.6522292438926715,-0.0323
13,2,1,0.8834578729539352,0.025
2,13,1,0.8834578729539352,0.025
14,15,1,0.0,-0.1333
15,14,1,0.0,-0.1333
14,16,1,0.9280443651483998,-0.3002
16,14,1,0.9280443651483998,-0.3002
15,16,1,0.9507111407386388,-0.2301
16,15,1,0.9507111407386388,-0.2301
17,18,1,0.8727047527287008,-0.124
18,17,1,0.8727047527287008,-0.124
17,19,1,0.7635475788555389,-0.124
19,17,1,0.7635475788555389,-0.124
17,20,1,0.907394484391076,-0.0863
20,17,1,0.907394484391076,-0.0863
17,21,1,0.8257389401766919,-0.0863
21,17,1,0.8257389401766919,-0.0863
18,19,1,0.787101457175087,-0.0976
19,18,1,0.787101457175087,-0.0976
18,20,1,0.9012232563296382,-0.0679
20,18,1,0.9012232563296382,-0.0679
18,21,1,0.8326061191642037,-0.0679
21,18,1,0.8326061191642037,-0.0679
19,20,1,0.0,-0.0438
20,19,1,0.0,-0.0438
19,21,1,0.0,-0.0438
21,19,1,0.0,-0.0438
20,21,1,0.0,-0.0323
21,20,1,0.0,-0.0323
22,4,1,0.0,-0.0773
4,22,1,0.0,-0.0773
23,16,1,0.829718102240928,0.383
16,23,1,0.829718102240928,0.383
23,24,1,0.7816317056607546,-0.1111
24,23,1,0.7816317056607546,-0.1111
23,25,1,0.8652542548534617,-0.0034
25,23,1,0.8652542548534617,-0.0034
16,24,1,0.9058380031061264,-0.0714
24,16,1,0.9058380031061264,-0.0714
16,25,1,0.9451862339166994,-0.1431
25,16,1,0.9451862339166994,-0.1431
24,25,1,0.0,-0.0929
25,24,1,0.0,-0.0929
26,27,1,0.0,-0.0464
27,26,1,0.0,-0.0464
28,29,1,0.8770390568335048,-0.0323
29,28,1,0.8770390568335048,-0.0323
28,3,1,0.0,-0.0464
3,28,1,0.0,-0.0464
29,3,1,0.0,-0.0464
3,29,1,0.0,-0.0464
20,30,1,0.0,-0.0323
30,20,1,0.0,-0.0323
20,31,1,0.0,-0.0323
31,20,1,0.0,-0.0323
30,31,1,0.740488936209709,-0.0323
31,30,1,0.740488936209709,-0.0323
14,16,1,0.9280443651483998,-0.3002
16,14,1,0.9280443651483998,-0.3002
10,7,1,0.7808147471890527,-0.0578
7,10,1,0.7808147471890527,-0.0578
23,32,1,0.892709917483659,-0.0987
32,23,1,0.892709917483659,-0.0987
15,16,1,0.9507111407386388,-0.2301
16,15,1,0.9507111407386388,-0.2301
