node1,node2,topic_similarity,temporal_similarity
5954,6522,1.0,-0.0323
6522,5954,1.0,-0.0323
5955,6522,1.0,-0.0323
6522,5955,1.0,-0.0323
39,3264,0.7439422644662534,-0.0679
3264,39,0.7439422644662534,-0.0679
106,553,0.8041508669045374,-0.0464
553,106,0.8041508669045374,-0.0464
107,553,0.8041508669045374,-0.0464
553,107,0.8041508669045374,-0.0464
108,553,0.886094698380209,-0.0464
553,108,0.886094698380209,-0.0464
553,109,0.7011244736270738,-0.0323
109,553,0.7011244736270738,-0.0323
939,128,0.0,-0.0578
128,939,0.0,-0.0578
939,1209,0.8583108391727733,0.6695
1209,939,0.8583108391727733,0.6695
128,1209,0.684066690208924,-0.0863
1209,128,0.684066690208924,-0.0863
3243,1735,0.8614042949828458,-0.0773
1735,3243,0.8614042949828458,-0.0773
3244,1735,0.8614042949828458,-0.0773
1735,3244,0.8614042949828458,-0.0773
3245,1735,0.0,-0.0773
1735,3245,0.0,-0.0773
6784,920,0.7429919250097642,-0.0679
920,6784,0.7429919250097642,-0.0679
1206,534,0.0,-0.0464
534,1206,0.0,-0.0464
534,1207,0.7840795205849627,-0.1069
1207,534,0.7840795205849627,-0.1069
6074,2051,0.0,-0.0323
2051,6074,0.0,-0.0323
2051,6075,0.0,-0.0323
6075,2051,0.0,-0.0323
2051,6076,0.0,-0.0323
6076,2051,0.0,-0.0323
2051,6077,0.0,-0.0323
6077,2051,0.0,-0.0323
1576,2199,0.0,-0.0323
2199,1576,0.0,-0.0323
1577,2199,0.0,-0.0323
2199,1577,0.0,-0.0323
2310,533,0.0,-0.0323
533,2310,0.0,-0.0323
2310,534,0.0,-0.0323
534,2310,0.0,-0.0323
1589,3247,0.7167839773460251,-0.0323
3247,1589,0.7167839773460251,-0.0323
3293,1745,0.0,-0.0323
1745,3293,0.0,-0.0323
1589,783,0.669668407665673,-0.0464
783,1589,0.669668407665673,-0.0464
920,6522,1.0,-0.0323
6522,920,1.0,-0.0323
921,6522,1.0,-0.0323
6522,921,1.0,-0.0323
922,6522,0.0,-0.0323
6522,922,0.0,-0.0323
923,6522,0.0,-0.0323
6522,923,0.0,-0.0323
2696,767,0.0,-0.0323
767,2696,0.0,-0.0323
2704,767,0.7874564322033581,-0.0323
767,2704,0.7874564322033581,-0.0323
2702,767,0.0,-0.0323
767,2702,0.0,-0.0323
767,2705,0.902303293322537,-0.0323
2705,767,0.902303293322537,-0.0323
3727,1917,0.65539894853923,-0.0323
1917,3727,0.65539894853923,-0.0323
3727,1918,0.65539894853923,-0.0323
1918,3727,0.65539894853923,-0.0323
3728,1917,0.65539894853923,-0.0323
1917,3728,0.65539894853923,-0.0323
3728,1918,0.65539894853923,-0.0323
1918,3728,0.65539894853923,-0.0323
3729,1917,0.65539894853923,-0.0323
1917,3729,0.65539894853923,-0.0323
3729,1918,0.65539894853923,-0.0323
1918,3729,0.65539894853923,-0.0323
535,6786,0.8591163835783816,0.3567
6786,535,0.8591163835783816,0.3567
535,6787,0.8591163835783816,0.3567
6787,535,0.8591163835783816,0.3567
2717,2319,0.725015116249877,-0.0323
2319,2717,0.725015116249877,-0.0323
2706,3886,0.8770070615346955,-0.0464
3886,2706,0.8770070615346955,-0.0464
2707,3886,0.8770070615346955,-0.0464
3886,2707,0.8770070615346955,-0.0464
2708,3886,0.8770070615346955,-0.0667
3886,2708,0.8770070615346955,-0.0667
2709,3886,0.7369826183362481,-0.0464
3886,2709,0.7369826183362481,-0.0464
3886,2697,0.0,-0.0323
2697,3886,0.0,-0.0323
116,1919,0.7493372105889932,-0.0323
1919,116,0.7493372105889932,-0.0323
116,1920,0.7493372105889932,-0.0323
1920,116,0.7493372105889932,-0.0323
117,1919,0.7493372105889932,-0.0323
1919,117,0.7493372105889932,-0.0323
117,1920,0.7493372105889932,-0.0323
1920,117,0.7493372105889932,-0.0323
2304,924,0.0,-0.0323
924,2304,0.0,-0.0323
2304,925,0.0,-0.0464
925,2304,0.0,-0.0464
2304,926,0.7687258917091419,-0.0464
926,2304,0.7687258917091419,-0.0464
924,2305,0.9050646239964676,-0.0592
2305,924,0.9050646239964676,-0.0592
924,2306,0.922646840852592,-0.0592
2306,924,0.922646840852592,-0.0592
924,2307,0.6784902325958818,-0.0412
2307,924,0.6784902325958818,-0.0412
925,2305,0.0,-0.0464
2305,925,0.0,-0.0464
925,2306,0.0,-0.0464
2306,925,0.0,-0.0464
925,2307,0.0,-0.0323
2307,925,0.0,-0.0323
2305,926,0.7904923391868455,-0.0464
926,2305,0.7904923391868455,-0.0464
2306,926,0.8221265896629909,0.6956
926,2306,0.8221265896629909,0.6956
2307,926,0.7377720266694826,-0.0464
926,2307,0.7377720266694826,-0.0464
563,6784,0.6941504281513994,-0.0323
6784,563,0.6941504281513994,-0.0323
563,6802,0.6188038498870001,-0.0323
6802,563,0.6188038498870001,-0.0323
6524,6784,0.5839363081214592,1.0
6784,6524,0.5839363081214592,1.0
1921,5984,1.0,-0.0323
5984,1921,1.0,-0.0323
1922,5984,1.0,-0.0323
5984,1922,1.0,-0.0323
1923,5984,1.0,-0.0497
5984,1923,1.0,-0.0497
5984,1915,0.0,-0.0323
1915,5984,0.0,-0.0323
5984,1924,0.0,-0.0464
1924,5984,0.0,-0.0464
4687,541,0.6478612350674209,-0.0323
541,4687,0.6478612350674209,-0.0323
4687,2981,0.4943350116918516,-0.0323
2981,4687,0.4943350116918516,-0.0323
4687,939,0.5748641952109174,-0.0454
939,4687,0.5748641952109174,-0.0454
541,2981,0.0,-0.0323
2981,541,0.0,-0.0323
541,939,0.0,-0.0454
939,541,0.0,-0.0454
541,4688,0.0,-0.0323
4688,541,0.0,-0.0323
2981,939,0.0,-0.0454
939,2981,0.0,-0.0454
2981,4688,0.0,-0.0323
4688,2981,0.0,-0.0323
939,4688,0.3555187699062291,0.5584
4688,939,0.3555187699062291,0.5584
3776,4551,0.8437374270558781,-0.0464
4551,3776,0.8437374270558781,-0.0464
5623,1602,0.6928896271785913,-0.0464
1602,5623,0.6928896271785913,-0.0464
6788,5958,0.8736556989949003,-0.0727
5958,6788,0.8736556989949003,-0.0727
5086,1818,0.4405606792613457,-0.0578
1818,5086,0.4405606792613457,-0.0578
5087,1818,0.4405606792613457,-0.0578
1818,5087,0.4405606792613457,-0.0578
3731,3275,0.7230633372417649,-0.0464
3275,3731,0.7230633372417649,-0.0464
3731,3261,0.7046086158554166,-0.0578
3261,3731,0.7046086158554166,-0.0578
3731,3276,0.6496605118685735,-0.0323
3276,3731,0.6496605118685735,-0.0323
923,542,0.8696872653020469,-0.0323
542,923,0.8696872653020469,-0.0323
542,927,0.0,-0.0323
927,542,0.0,-0.0323
542,928,0.0,-0.0464
928,542,0.0,-0.0464
3587,4425,0.0,-0.0323
4425,3587,0.0,-0.0323
3588,4425,0.6078294267038787,-0.0323
4425,3588,0.6078294267038787,-0.0323
3589,4425,0.0,-0.0323
4425,3589,0.0,-0.0323
3279,3938,0.8907425472093563,-0.0599
3938,3279,0.8907425472093563,-0.0599
3280,3938,0.728995412173586,-0.0323
3938,3280,0.728995412173586,-0.0323
923,541,0.8696872653020469,-0.0323
541,923,0.8696872653020469,-0.0323
923,542,0.8696872653020469,-0.0323
542,923,0.8696872653020469,-0.0323
923,537,0.8413012670687071,-0.0464
537,923,0.8413012670687071,-0.0464
3985,3588,0.0,-0.0323
3588,3985,0.0,-0.0323
3985,4425,0.0,-0.0323
4425,3985,0.0,-0.0323
3588,4425,0.6078294267038787,-0.0323
4425,3588,0.6078294267038787,-0.0323
1919,929,0.0,-0.0323
929,1919,0.0,-0.0323
1919,930,0.0,-0.0727
930,1919,0.0,-0.0727
1920,929,0.0,-0.0323
929,1920,0.0,-0.0323
1920,930,0.0,-0.0727
930,1920,0.0,-0.0727
6587,2717,0.6766943443981388,-0.0323
2717,6587,0.6766943443981388,-0.0323
6615,6820,0.6650573906953302,1.0
6820,6615,0.6650573906953302,1.0
6615,6821,0.6887997636073355,1.0
6821,6615,0.6887997636073355,1.0
6615,6822,0.6299865013973238,1.0
6822,6615,0.6299865013973238,1.0
3738,4556,0.6140544288882732,-0.0323
4556,3738,0.6140544288882732,-0.0323
3738,4555,0.6020253639822957,0.6956
4555,3738,0.6020253639822957,0.6956
4094,5855,0.6959923676393408,-0.0637
5855,4094,0.6959923676393408,-0.0637
4094,5856,0.7675700445151888,-0.0637
5856,4094,0.7675700445151888,-0.0637
4094,5857,0.7675700445151888,-0.0637
5857,4094,0.7675700445151888,-0.0637
5534,3247,0.7308366961608564,-0.0323
3247,5534,0.7308366961608564,-0.0323
5535,3247,0.0,-0.0323
3247,5535,0.0,-0.0323
5536,3247,0.0,-0.0323
3247,5536,0.0,-0.0323
5537,3247,0.0,-0.0323
3247,5537,0.0,-0.0323
2627,3980,0.893591421143569,-0.0578
3980,2627,0.893591421143569,-0.0578
3980,2624,0.6573805595421414,-0.0323
2624,3980,0.6573805595421414,-0.0323
3729,2704,0.7035184734390276,-0.0323
2704,3729,0.7035184734390276,-0.0323
3729,2702,0.7035184734390276,-0.0323
2702,3729,0.7035184734390276,-0.0323
3732,2704,0.8116363210905643,0.6956
2704,3732,0.8116363210905643,0.6956
3732,2702,0.8116363210905643,0.6956
2702,3732,0.8116363210905643,0.6956
3733,2704,0.8502817040912625,-0.0464
2704,3733,0.8502817040912625,-0.0464
3733,2702,0.8502817040912625,-0.0464
2702,3733,0.8502817040912625,-0.0464
128,1209,0.684066690208924,-0.0863
1209,128,0.684066690208924,-0.0863
1209,109,0.8804978734693365,-0.0704
109,1209,0.8804978734693365,-0.0704
1482,5490,0.6396259443141546,-0.0778
5490,1482,0.6396259443141546,-0.0778
5490,1479,0.0,-0.097
1479,5490,0.0,-0.097
3321,4418,0.0,-0.0323
4418,3321,0.0,-0.0323
6166,4919,0.7235529295415027,-0.0323
4919,6166,0.7235529295415027,-0.0323
110,6548,0.7801106446702305,-0.0323
