author,id,new_id
Michael Bostock,0,6782
Vadim Ogievetsky,1,6783
Jeffrey Heer,2,6784
B. Johnson,3,2
B. Shneiderman,4,3
A. Inselberg,5,1574
B. Dimsdale,6,1575
M. Duchaineau,7,3237
M. Wolinsky,8,3238
D.E. Sigeti,9,3239
M.C. Miller,10,3240
C. Aldrich,11,3241
M.B. Mineev-Weinstein,12,3242
J. Kruger,13,4417
R. Westermann,14,4418
M. Pauly,15,5482
M. Gross,16,5483
L.P. Kobbelt,17,5484
Danny Holten,18,5485
H. Hoppe,19,5486
M. Alexa,20,5487
J. Behr,21,5488
D. Cohen-Or,22,5489
S. Fleishman,23,5490
D. Levin,24,5954
C.T. Silva,25,5955
Ji Soo Yi,26,6522
Youn ah Kang,27,6785
John Stasko,28,6740
Edward Segel,29,6741
J. Heer,30,6786
D. Boyd,31,6787
Fernanda B. Viegas,32,6788
Martin Wattenberg,33,6789
Frank van Ham,34,6790
Jesse Kriss,35,6791
Matt McKeon,36,6792
C. Stolte,37,39
P. Hanrahan,38,3264
Tamara Munzner,39,106
E.H. Chi,40,107
G.M. Nielson,41,108
B. Hamann,42,553
Alexander Lex,43,109
Nils Gehlenborg,44,760
Hendrik Strobelt,45,761
Romain Vuillemot,46,762
Hanspeter Pfister,47,6523
R. Amar,48,6524
J. Eagan,49,6525
J. Stasko,50,860
Carsten Gorg,51,861
Zhicheng Liu,52,939
Kanupriya Singhal,53,128
M. Garland,54,1209
P.S. Heckbert,55,763
Michael Sedlmair,56,1302
Miriah Meyer,57,1303
E. Zhang,58,1304
M.O. Ward,59,1305
J.A. Wise,60,1306
J.J. Thomas,61,1307
K. Pennock,62,1308
D. Lantrip,63,1343
M. Pottier,64,1344
A. Schur,65,1345
V. Crow,66,3243
Ying-Huey Fua,67,3244
E.A. Rundensteiner,68,3245
G. Kindlmann,69,1735
R. Whitaker,70,920
T. Tasdizen,71,1206
T. Moller,72,534
George Robertson,73,1207
Nathalie Henry,74,6074
Jean-Daniel Fekete,75,2051
Michael J. McGuffin,76,6075
Nivan Ferreira,77,6076
Jorge Poco,78,6077
Huy T. Vo,79,3246
Juliana Freire,80,3247
Cláudio T. Silva,81,3248
C.L. Bajaj,82,3249
V. Pascucci,83,3250
D.R. Schikore,84,1208
J. Kniss,85,6793
C. Hansen,86,3251
Matthew Brehmer,87,3252
Lee Byron,88,3253
R. Raskar,89,3254
M.S. Brown,90,3255
Ruigang Yang,91,3256
Wei-Chao Chen,92,3257
G. Welch,93,3258
H. Towles,94,1576
B. Scales,95,1577
H. Fuchs,96,2199
C. Plaisant,97,2310
J. Grosjean,98,533
B.B. Bederson,99,4
R. Pajarola,100,5
Niklas Elmqvist,101,6794
Pierre Dragicevic,102,1589
S.K. Card,103,5491
J. Mackinlay,104,5492
Jonathan Feinberg,105,1578
P. Lindstrom,106,1579
J.C. Xia,107,1580
A. Varshney,108,3293
M. Ghoniem,109,1745
J.-D. Fekete,110,783
P. Castagliola,111,5493
D. Ebert,112,5494
P. Rheingans,113,6795
T. Munzner,114,6796
G. Turk,115,6797
M. Weber,116,110
W. Muller,117,111
Jock Mackinlay,118,112
Pat Hanrahan,119,113
Chris Stolte,120,114
Michelle A. Borkin,121,115
Azalea A. Vo,122,2617
Zoya Bylinskii,123,2618
Phillip Isola,124,6526
Shashank Sunkavalli,125,6527
Aude Oliva,126,5956
J.J. Van Wijk,127,5957
E.R. Van Selow,128,3259
Zachary Pousman,129,3260
Michael Mateas,130,3261
Ben Shneiderman,131,3262
Aleks Aris,132,2619
S. Parker,133,921
P. Shirley,134,922
Y. Livnat,135,923
P.-P. Sloan,136,2696
J.J. van Wijk,137,2697
H. Van de Wetering,138,2698
Roland Fernandez,139,2699
Danyel Fisher,140,2700
Bongshin Lee,141,2701
Weiwei Cui,142,2702
Shixia Liu,143,2703
Li Tan,144,3126
Conglei Shi,145,3127
Yangqiu Song,146,3158
Zekai Gao,147,3159
Huamin Qu,148,3160
Xin Tong,149,6798
S.R. Marschner,150,3263
R.J. Lobb,151,3265
Marco Tarini,152,1915
Paolo Cignoni,153,1916
Claudio Montani,154,5495
Fernanda B. Viégas,155,5496
E. LaMar,156,6799
K.I. Joy,157,6800
Geoffrey Ellis,158,6801
Alan Dix,159,6802
R.S. Avila,160,1346
L.M. Sobierajski,161,1347
Doantam Phan,162,3197
Ling Xiao,163,3198
R. Yeh,164,6
Maneesh Agrawala,165,7
C.G. Healey,166,8
J. LeBlanc,167,9
N. Wittels,168,6803
S. Wehrend,169,6804
C. Lewis,170,6805
Ka-Ping Yee,171,1210
D. Fisher,172,2704
R. Dhamija,173,767
M. Hearst,174,2705
Sean Kandel,175,5497
Andreas Paepcke,176,5498
Joseph M. Hellerstein,177,5499
Jean-daniel Fekete,178,5500
Hong Zhou,179,5501
Pak Chung Wong,180,5502
Xiaoming Li,181,2620
L. Bavoil,182,2621
S.P. Callahan,183,2622
P.J. Crossno,184,5503
J. Freire,185,5504
C.E. Scheidegger,186,3475
H.T. Vo,187,3476
U. Clarenz,188,1726
U. Diewald,189,1727
M. Rumpf,190,1728
F. Evans,191,1729
S. Skiena,192,1730
T. Kapler,193,1731
W. Wright,194,1732
Alan M. MacEachren,195,1733
Anuj Jaiswal,196,3541
Anthony C. Robinson,197,3542
Scott Pezanowski,198,3583
Alexander Savelyev,199,3584
Prasenjit Mitra,200,3585
Xiao Zhang,201,10
Justine Blanford,202,6806
M. Wattenberg,203,6807
A.R. Rao,204,535
G.L. Lohse,205,536
D.A. Keim,206,537
H.-P. Kriegel,207,3664
M. Ankerst,208,3665
Jessica Hullman,209,3666
Nick Diakopoulos,210,1734
Christopher Collins,211,1479
Gerald Penn,212,1480
Sheelagh Carpendale,213,1481
James Abello,214,3586
Frank Van Ham,215,5505
Neeraj Krishnan,216,5506
M. Tory,217,5507
W.J. Schroeder,218,5508
K.M. Martin,219,3727
W.E. Lorensen,220,3728
S. Berchtold,221,3729
Taosong He,222,1917
Lichan Hong,223,1918
A. Kaufman,224,6808
H. Pfister,225,6809
Zuchao Wang,226,6810
Min Lu,227,3266
Xiaoru Yuan,228,3267
Junping Zhang,229,1581
Huub van de Wetering,230,1582
Arvind Satyanarayan,231,1583
Dominik Moritz,232,1584
Kanit Wongsuphasawat,233,1585
D. Weinstein,234,764
E. Lundberg,235,765
P. Hoffman,236,766
G. Grinstein,237,3268
K. Marx,238,3269
I. Grosse,239,3270
E. Stanley,240,3935
J.P.M. Hultquist,241,3936
S. Havre,242,3937
B. Hetzler,243,3938
L. Nowell,244,6811
H. Hauser,245,6812
F. Ledermann,246,1348
H. Doleisch,247,4037
S. Guthe,248,4038
M. Wand,249,2717
J. Gonser,250,2319
W. Strasser,251,1586
Anushka Anand,252,1587
Bill Howe,253,3271
Wei Peng,254,3272
Ed Huai-Hsin Chi,255,5958
J.T. Riedl,256,2706
David Gotz,257,2707
Michelle X. Zhou,258,2708
D.F. Jerding,259,2709
J.T. Stasko,260,3886
P. Burchard,261,116
S. Osher,262,117
Adam Perer,263,1919
Mengchen Liu,264,1920
Jiaxin Shi,265,2304
Zhen Li,266,924
Chongxuan Li,267,925
Jun Zhu,268,2305
Christian Tominski,269,2306
Heidrun Schumann,270,2307
Gennady Andrienko,271,926
Natalia Andrienko,272,4073
M.M. Chow,273,4074
Junghoon Chae,274,4371
Dennis Thom,275,4372
Harald Bosch,276,4373
Yun Jang,277,1588
Ross Maciejewski,278,1590
David S. Ebert,279,1591
Thomas Ertl,280,1592
Peter Lindstrom,281,1593
Martin Isenburg,282,2200
C. Montani,283,4484
R. Scateni,284,4485
R. Scopigno,285,4486
D. Koller,286,563
W. Ribarsky,287,11
L.F. Hodges,288,12
N. Faust,289,2201
G. Turner,290,2202
A. Boltman,291,2203
M. Zockler,292,2204
D. Stalling,293,4551
H.-C. Hege,294,4552
Wesley Willett,295,4553
C. Ahlberg,296,4685
E. Wistrand,297,4686
D. Auber,298,118
Y. Chiricota,299,119
F. Jourdan,300,5509
G. Melancon,301,5510
H.-W. Shen,302,5511
L.-J. Chiang,303,2308
K.-L. Ma,304,2309
Matej Novotny,305,5959
Helwig Hauser,306,5960
Sebastian Gehrmann,307,5961
Alexander M. Rush,308,3273
O. Sorkine,309,3274
R. Goldenthal,310,1921
D. Lischinski,311,1922
Waqas Javed,312,1923
Bryan McDonnel,313,5984
Nicholas Diakopoulos,314,1924
Mor Naaman,315,4687
Funda Kivran-Swaine,316,541
D. Gotz,317,2981
J. Hensley,318,4688
Dominik Sacha,319,5962
Andreas Stoffel,320,5963
Florian Stoffel,321,5964
Bum Chul Kwon,322,5965
Daniel A. Keim,323,5966
Tobias Isenberg,324,5967
Petra Isenberg,325,5968
Jian Chen,326,5969
Torsten Möller,327,1925
Megan Monroe,328,1926
Rongjian Lan,329,1927
Hanseung Lee,330,1928
Catherine Plaisant,331,1929
Jaegul Choo,332,1930
Changhyun Lee,333,1931
Chandan K. Reddy,334,5044
Haesun Park,335,5045
Salvatore Rinzivillo,336,5046
Mirco Nanni,337,5047
Dino Pedreschi,338,3776
Fosca Giannotti,339,5623
Enrico Bertini,340,1602
Andrada Tatu,341,4419
Daniel Keim,342,4420
R.J. Hendley,343,4421
N.S. Drew,344,4422
A.M. Wood,345,5086
R. Beale,346,5087
C. Weaver,347,1818
U.D. Bordoloi,348,5162
S. Bryson,349,5163
C. Levit,350,5164
O. Deussen,351,5165
C. Colditz,352,3939
M. Stamminger,353,3940
G. Drettakis,354,3731
L.D. Bergman,355,3275
B.E. Rogowitz,356,3276
L.A. Treinish,357,1594
Jo Wood,358,1595
Jason Dykes,359,1596
Aidan Slingsby,360,538
Keith Clarke,361,539
S. Bruckner,362,540
M.E. Groller,363,5512
Han-Wei Shen,364,5513
C.D. Hansen,365,5514
C.R. Johnson,366,5515
H. Carr,367,5516
J. Snoeyink,368,5517
M. van de Panne,369,5518
Marian Dörk,370,5519
Daniel Gruen,371,5520
Carey Williamson,372,5521
R. Shekhar,373,5522
E. Fayyad,374,5328
R. Yagel,375,5329
J.F. Cornhill,376,5330
H. Childs,377,3941
E. Brugger,378,3942
K. Bonnell,379,542
J. Meredith,380,927
M. Miller,381,928
B. Whitlock,382,5464
N. Max,383,5465
R.M. Kirby,384,5331
H. Marmanis,385,5332
D.H. Laidlaw,386,5333
I. Viola,387,5334
A. Kanitsar,388,5335
Nathalie Henry Riche,389,5336
Amy K. Karlson,390,120
Sheelash Carpendale,391,121
U. Brandes,392,3277
S.R. Corman,393,3278
Jibonananda Sanyal,394,3587
Song Zhang,395,3588
Jamie Dyer,396,3589
Andrew Mercer,397,4425
Philip Amburn,398,6813
Robert Moorhead,399,3279
Samuel Gratzl,400,3280
Marc Streit,401,3943
H. Levkowitz,402,3944
M. Hadwiger,403,3945
C. Berger,404,3946
M. Weiler,405,3985
M. Kraus,406,1597
M. Merz,407,5523
T. Ertl,408,5524
G. Humphreys,409,1736
R. Klein,410,1737
G. Liebich,411,1738
D. Fleischmann,412,1739
R. Wegenkittl,413,1740
P. Felkel,414,5468
E. Groller,415,5469
S. Rottger,416,5470
M. Isenburg,417,5471
M. Cox,418,6814
D. Ellsworth,419,6815
Robert E. Roth,420,6816
James O'Brien,421,6817
Bonan Li,422,6818
Derek Swingley,423,6819
Mark Gahegan,424,2623
Han Chen,425,2624
R. Sukthankar,426,5476
G. Wallace,427,5477
Kai Li,428,5478
Daniel Smilkov,429,4554
James Wexler,430,4555
Jimbo Wilson,431,929
Dandelion Mané,432,930
Doug Fritz,433,1349
Dilip Krishnan,434,768
F. van Ham,435,769
M.J. McGuffin,436,5767
L. Tancau,437,5768
R. Balakrishnan,438,5769
Carlos Correa,439,5770
Kwan-Liu Ma,440,1598
Michael Burch,441,1599
Daniel Weiskopf,442,1600
A.R. Martin,443,4689
P. Whitney,444,4690
J. Thomas,445,4691
A. Buja,446,4692
J.A. McDonald,447,1211
J. Michalak,448,1212
W. Stuetzle,449,1213
V. Verma,450,1741
D. Kao,451,1742
A. Pang,452,2625
Ivan Viola,453,5525
Miquel Feixas,454,5526
Mateu Sbert,455,6078
Meister Eduard Groller,456,6079
Lars Grammel,457,6080
Melanie Tory,458,4075
Margaret-Anne Storey,459,4076
Chaomei Chen,460,4077
S. Morris,461,4078
W.C. de Leeuw,462,6587
Wei Li,463,6615
K. Mueller,464,6820
Lauro Lins,465,6821
James T. Klosowski,466,6822
Carlos Scheidegger,467,5771
Attila Gyulassy,468,5772
Peer-Timo Bremer,469,5773
Bernd Hamann,470,4374
Valerio Pascucci,471,4375
Krist Wongsuphasawat,472,4376
Minsuk Kahng,473,4377
Pierre Y. Andrews,474,4378
Aditya Kalro,475,5337
Duen Horng (Polo) Chau,476,5338
M.H. Gross,477,1932
R. Gatti,478,1350
O. Staadt,479,1601
M. Chalmers,480,1603
P. Cignoni,481,6302
F. Ganovelli,482,6303
E. Gobbetti,483,6304
F. Marton,484,6305
F. Ponchio,485,4487
V. Interrante,486,4488
C. Grosch,487,4489
Milos Krstajic,488,122
Jing Yang,489,123
A. Globus,490,124
T. Lasinski,491,2710
Z.J. Wood,492,2711
M. Desbrun,493,2712
P. Schroder,494,5527
D. Breen,495,4423
H. Theisel,496,5783
T. Weinkauf,497,5784
H.-P. Seidel,498,125
Jens Kruger,499,126
Jens Schneider,500,127
Rudiger Westermann,501,5528
Yingcai Wu,502,5529
Furu Wei,503,5530
Norman Au,504,5531
A. Hubeli,505,5339
M. Balzer,506,5340
T.A. Keahey,507,5341
E.L. Robertson,508,5342
Yehuda Koren,509,5343
