author,community
0,0
1,0
2,0
3,1
4,1
5,2
6,2
7,18
8,18
9,18
10,18
11,18
12,18
13,4
14,4
15,5
16,5
17,5
20,5
21,5
22,5
23,5
24,5
25,5
26,6
27,6
28,7
29,0
30,8
31,8
32,0
33,0
34,0
35,0
36,0
37,0
38,0
41,9
42,18
43,10
44,11
45,10
46,11
47,10
48,24
49,24
50,24
51,7
52,7
53,7
54,13
55,13
56,14
57,15
39,6
58,24
60,16
61,16
62,16
63,16
64,16
65,16
66,16
67,17
59,17
68,17
69,18
70,19
71,18
72,5
73,11
74,6
75,11
76,6
77,20
78,20
79,20
80,20
81,20
82,18
83,18
84,18
85,18
86,18
87,11
88,0
89,19
90,19
91,19
92,19
93,19
94,19
95,19
96,19
97,2
98,2
99,21
101,17
102,11
103,1
104,1
105,0
106,2
107,5
108,5
109,2
110,2
111,2
112,18
113,22
115,24
116,5
117,5
118,0
119,0
120,0
121,10
122,10
123,10
124,10
125,10
126,10
127,23
128,23
129,7
130,7
131,24
132,24
133,18
134,18
135,18
136,18
138,23
139,11
140,11
141,11
142,25
143,25
144,25
145,25
146,25
147,25
148,25
149,25
150,26
151,26
152,27
153,27
154,27
155,0
156,18
157,18
158,14
159,14
160,5
161,5
162,0
163,0
164,0
165,0
167,17
168,17
169,28
170,28
171,1
172,1
173,1
174,1
175,0
176,0
177,0
178,6
179,25
180,24
181,25
182,5
183,5
184,5
185,5
186,5
187,5
188,23
189,23
190,23
191,5
192,5
193,29
194,29
195,22
196,22
197,22
198,22
199,22
200,22
201,22
202,22
204,30
205,30
206,31
207,31
208,31
203,1
209,0
210,0
211,11
212,11
213,11
214,32
215,32
216,32
217,5
218,81
219,81
220,81
221,31
222,5
223,5
224,5
225,5
226,34
227,34
228,34
229,34
230,14
231,0
232,0
233,0
234,18
235,18
236,2
237,2
238,2
239,2
240,2
242,24
243,24
244,24
245,18
246,18
247,18
248,35
249,35
250,35
251,35
252,0
253,0
254,17
255,36
256,36
257,25
258,25
259,2
260,2
261,18
262,18
263,14
264,25
265,25
266,25
267,25
268,25
269,63
270,63
271,14
272,14
274,17
275,38
276,38
277,17
278,38
279,17
280,38
281,39
282,39
283,40
284,40
285,40
286,2
287,2
288,2
289,2
290,2
291,21
292,41
293,41
294,41
295,11
296,1
297,1
298,21
299,21
300,21
301,21
302,42
303,42
304,42
305,63
306,63
307,10
308,10
309,5
310,5
311,5
312,17
313,17
314,7
315,7
316,7
317,19
318,19
319,14
320,14
321,14
322,14
323,14
324,63
325,11
326,25
327,63
328,24
329,24
330,24
331,24
332,7
333,7
334,7
335,7
336,14
337,14
338,14
339,14
340,14
341,14
342,14
343,43
344,43
345,43
346,43
348,34
349,5
350,2
351,4
352,4
353,4
354,4
355,44
356,44
357,22
358,15
359,15
360,15
361,15
362,35
363,35
364,34
365,18
366,18
367,2
368,2
369,2
370,11
371,11
372,11
373,5
374,5
375,5
376,5
377,18
378,18
379,18
380,18
381,18
382,18
383,18
384,19
385,19
386,19
387,35
388,35
389,11
390,11
391,11
392,46
393,46
394,25
395,25
396,25
397,25
398,25
399,25
400,15
401,63
403,18
404,18
405,31
406,31
407,31
408,4
409,0
410,18
411,18
412,35
413,35
414,35
415,35
416,35
417,2
418,18
419,18
420,22
421,22
422,22
423,22
424,22
425,47
426,47
427,47
428,47
429,0
430,0
431,0
432,0
433,0
434,0
435,23
137,23
436,48
437,48
438,48
439,42
440,42
441,38
442,14
443,17
444,24
445,24
446,49
447,49
448,49
449,49
450,2
451,2
452,2
453,63
454,63
455,63
456,63
457,6
458,6
459,6
460,22
461,22
462,23
463,5
464,5
465,20
466,20
467,20
468,39
469,39
470,39
471,39
472,7
473,7
474,0
475,0
476,0
477,50
478,50
479,50
481,40
482,40
483,40
484,40
485,40
486,19
487,19
488,14
489,17
490,2
491,2
492,19
493,19
494,19
495,19
496,41
497,41
498,41
499,10
500,10
501,10
502,25
503,25
504,25
505,5
506,4
507,51
508,51
509,15
510,15
511,15
512,5
513,5
514,5
515,5
516,19
517,19
518,19
519,19
520,19
521,34
522,42
523,52
524,52
525,52
526,42
527,42
528,7
529,14
530,14
531,14
532,14
533,14
534,14
535,14
536,23
537,9
538,9
539,9
540,9
541,53
542,53
402,53
