id,keywords
0,information visualization user interfaces toolkits 2d graphicsinformation visualization user interfaces toolkits 2d graphicsinformation visualization user interfaces toolkits domain specific languages declarative languages optimization
1,information visualization user interfaces toolkits 2d graphics
2,information visualization user interfaces toolkits 2d graphicsnarrative visualization storytelling design methods case study journalism social data analysisstatistical data graphics animation transitions information visualization design experimentinformation visualization user interfaces toolkits 2d graphicsvisualization analysis collaboration design computersupported cooperative workdata analysis visualization enterprisevisualization history undo analysis presentation evaluationdesign patterns information visualization software engineering objectoriented programminginformation visualizationinteractionsystemstoolkitsdeclarative specificationuser interfaces information visualization exploratory analysis visualization recommendation mixedinitiative systemsinformation visualization user interface toolkits information foraging social navigation social data analysisinteraction latency exploratory analysis interactive visualization scalability user performance verbal analysisinformation visualization systems toolkits declarative specification optimization interaction streaming datagraph visualization aggregation nodelink diagrams edge bundling physical simulationinformation visualization user interfaces toolkits domain specific languages declarative languages optimizationgraphical perception visualization treemaps rectangular area visual encoding experiment mechanical turkautomated visualization designperceptual effectivenessconstraintsknowledge basesanswer set programmingvisualization design encoding perception model crowdsourcing automated visualization visual embeddingtimetree doi tree tree visualizationorganizational chart timeseries data visual analyticssocial network analysis data management data transformation graphs visualization enduser programminginformation visualization banking to 45 degrees line charts timeseries sparklines graphical perceptionwebers law perception of correlation log transformation censored regression bayesian methodsvisualizationcolorchart understandinginformation extractionredesigncomputer visionthematic mapsbayesian surpriseevent visualizationspatiatemporal datacritical reflectionvisualization authoringexpressivitylearnabilityreusabilityanimated transitionanimationtransitiondeclarative grammarautomated designchartsmultiverse analysisstatistical analysisanalytic decisionsreproducibility
7,triangle bintree viewdependent mesh frametoframe coherence greedy algorithmsviewdependent rendering isosurfaces multiresolution tetrahedal meshes multiresolution techniqueseulerian flow material boundary surface barycentric coordinates volume fraction voronoi diagram
8,triangle bintree viewdependent mesh frametoframe coherence greedy algorithms
9,triangle bintree viewdependent mesh frametoframe coherence greedy algorithms
10,triangle bintree viewdependent mesh frametoframe coherence greedy algorithms
11,triangle bintree viewdependent mesh frametoframe coherence greedy algorithms
12,triangle bintree viewdependent mesh frametoframe coherence greedy algorithms
13,volume rendering programmable graphics hardware raycastingdiffusion tensors dynamic visualization gpu particle tracing and streamlines medical visualization
14,volume rendering programmable graphics hardware raycastingvolume rendering vector quantization texture compression graphics hardwarevolume rendering wavelet transforms singularities lipschitz exponentsvolume visualization isosurface reconstruction distributed systems webbased applicationsflow visualization levelsets feature extractionmultiscale representation texture mappingvolume rendering raycasting texture mapping visualization graphics hardwarediffusion tensors dynamic visualization gpu particle tracing and streamlines medical visualization
18,network visualization edge bundling edge aggregation edge concentration curves graph visualization tree visualization nodelink diagrams hierarchies treemapsdynamic networks exploration dimensionality reduction
20,surface representation and reconstruction moving least squares point sample rendering 3d acquisitioninformation visualization graph drawing visualization of timeseries data data mining 
21,surface representation and reconstruction moving least squares point sample rendering 3d acquisition
22,surface representation and reconstruction moving least squares point sample rendering 3d acquisitionatlas mesh partitioning parameterization surface flattening texture mapping 3d paintingshapeplending interpolation shape reconstruction radial basis functions
23,surface representation and reconstruction moving least squares point sample rendering 3d acquisition
24,surface representation and reconstruction moving least squares point sample rendering 3d acquisitionshapeplending interpolation shape reconstruction radial basis functions
25,surface representation and reconstruction moving least squares point sample rendering 3d acquisitioninterrogative visualization dataflow caching coordinated viewsisosurface extraction marching cubes outofcore computation interval tree scientific visualizationpolygonal surface simplification large data outofcore algorithms external sorting quadric error metricsscientific workflows scientific visualization auto completionpolygon rendering visibility ordering occlusion culling interactive volume rendering multiresolution meshes levelofdetail tetrahedral meshes volume rendering hardware accelerationcoastal observatories environmental observation and forecasting systems coasts estuaries columbia river
26,information visualization interaction interaction techniques taxonomy visual analyticssensemaking model information visualization novice users grounded theory qualitative studydesign study usercentered design nodelink diagrams multimodal graphs interaction qualitative evaluationvisualized decision making eye tracking crowdsourcing quantitative empirical study limitations peripheral visionvisual analytics investigative analysis cognitive model framework roadblock qualitative experimentonline health communities visual analytics conversation analysis thread visualization healthcare design study
27,information visualization interaction interaction techniques taxonomy visual analytics
28,information visualization interaction interaction techniques taxonomy visual analyticsvisual analytics investigative analysis intelligence analysis information visualization multiple viewscasual information visualization ambient infovis social infovis editorial design evaluationinformation visualization animation trends design experimentmental model modelbased reasoning distributed cognition interaction theory information visualizationinformation visualization distributed cognition interaction representation theory and methodsmultivariate data visual analytics parallel coordinates dynamic queries iterative analysis starplot small multiplesintelligence analysis qualitatvie user studymultimodal interactionnetwork visualizationnatural language inputdirect manipulationmultitouch inputbusiness ecosystems market research strategic analysis design study interaction network visualizationset visualization information visualization direct manipulation euler diagrams interaction logical operationsnatural language generationmixedinitiative interactionvisualization recommendationdatadriven communicationspatiotemporal visualization time series data video visualization sensor analytics imagevideo analyticstext visualizationsocial medianatural language processingword cloudtwittervisual analytics case study qualitative evaluationinvestigative analysis transaction analysis information visualization multiple views time series data multiple attributes categorical datacritical reflectionvisualization authoringexpressivitylearnabilityreusabilitygraphlevel operations graph visualization visualization technique specification graph analysis information visualizationvisualization evaluationheuristicsvalue of visualizationnatural language interfacesvisualization toolkitsdecision makingdatavisualizationvisual analyticstaxonomiestask
29,narrative visualization storytelling design methods case study journalism social data analysis
30,social networks visualization graphs communitydata mining exploration play
31,social networks visualization graphs communitydata mining exploration play
32,visualization world wide web social software social data analysis communicationminded visualizationvisualization text tag cloud participatory culture memory educational visualization social data analysistext visualization corpus visualization information retrieval text mining tag cloudstext visualization tag cloud natural language processing semantic net
33,visualization world wide web social software social data analysis communicationminded visualizationstreamgraph themeriver listening history lastfm aesthetics communicationminded visualization time seriesvisualization text tag cloud participatory culture memory educational visualization social data analysistext visualization document visualization many eyes case study concordance information retrieval searchtext visualization corpus visualization information retrieval text mining tag cloudsneural networkgraph visualizationdataflow graphclustered graphtext visualization tag cloud natural language processing semantic netinteractive machine learningmodel debuggingmodel comparisondeep learninginformation visualizationvisual analyticsgenerative adversarial networksmachine learninginteractive experimentationexplorable explanationsmix effects omitted variable bias simpsons paradox statistics
34,visualization world wide web social software social data analysis communicationminded visualizationgraph visualization network visualization degree of interest legal citation networks focuscontexttext visualization tag cloud natural language processing semantic netnetwork layout visualization perceptual organization graph layout user studies
35,visualization world wide web social software social data analysis communicationminded visualization
36,visualization world wide web social software social data analysis communicationminded visualizationvisualization web social software wikis social data analysis collaboration dashboards visual analytics
39,models frameworks design evaluationdesign study methodology visualization frameworktypology visualization models task and requirements analysis qualitative evaluationinformation visualization design study bioinformatics syntenydimensionality reduction scatterplots quantitative studygraph layout systems biology visualization small multiples design studydesign study investigative journalism task and requirements analysis text and document data text analysisspatial data temporal data gene expressionweb session log analysis visual exploratory data analysis information visualizationspatialization information landscape user study numerosity 3d 2d colour greyscale surface pointsmultiple resolutions overview use user studysystem timelines authoring environment timeoriented data journalismframeworkdata analysisanalysis goalsdesign studiesopen codingtask classificationsnetwork visualization change management traffic routing traffic optimization automotive design studydesign study design methodologies time series data task and requirements analysis coordinated and multiple viewsinformation visualization design study bioinformatics genetic variantsgraph and network visualization quasitreefocuscontext information visualization real time rendering navigationvisualization recommendationcontentbased filteringrecommender systemsvisualization workbook repositoriescomputational journalismdata journalismdata wranglingvisualization collectionsvisualization bundlesresult snippetsvisual inspection
40,information visualization data state modelreference model taxonomy techniques operatorsinformation visualization spreadsheet sensemaking world wide web information ecologies log file analysis
43,sets set visualization sets intersections set attributes set relationships multidimensional dataranking visualization ranking scoring multiattribute multifactorial multifaceted stacked bar chartsmultidimensional data cluster comparison bioinformatics visualizationvisual links highlighting connectedness routing imagebased saliencyinhomogeneous data multiple coordinated views multiform visualizationmultiple coordinated views visual linking relationships heterogeneous data categorical datapathway visualization biological networks subsets graphs biomolecular datamultirelational data visual data analysis drug discoverymultivariate graphsnetworkstreebased graph visualizationadjacency matrixspanning treesvisualizationbiology visualization protein isoforms mrnaseq directed acyclic graphs multivariate networksgraph visualizationdata abstractiondata wranglinghumancentered computing information visualizationhumancentered computing visualization systems and toolsinformation systems graphbased database modelsmethodologiesapplication motivated visualizationguidelineslife sciences visualizationhealthmedicinebiologybioinformaticsgenomicsmicroscopy visualizationcancer cell linesexemplarsdesign study
44,sets set visualization sets intersections set attributes set relationships multidimensional dataranking visualization ranking scoring multiattribute multifactorial multifaceted stacked bar chartsmultiple coordinated views visual linking relationships heterogeneous data categorical datainteractive small multiplesmatrix comparisonbiomedical visualizationgenomicsguided navigationpattern explorationmultiscale visualizationsgigapixel imagesgeospatial mapsgenomicsinformation visualizationsmall multiplesinteractive pilingvisual aggregationspatial organizationdisease progressionstate identificationsequence visualizationgenomicsdeclarative specificationvisualization grammar
45,sets set visualization sets intersections set attributes set relationships multidimensional datavisualizationmachine learningrecurrent neural networkslstmgraph visualization opengl edge aggregationdocument visualization visual summary content extraction document collection browsingexplainable aivisual debuggingvisual analyticsmachine learningdeep learningnlpconnectomics neuroscience data abstraction multitrees focuscontexttext highlighting techniques visual document analytics text annotation crowdsourced studyeducationhierarchiesinformation visualizationmultirelational data visual data analysis drug discoveryhumancomputer collaborationdeep learningneural networksinteraction designhumancentered designbiology visualization protein isoforms mrnaseq directed acyclic graphs multivariate networksvisual analyticsneural networksparameter space explorationhighcontent screeningvisual analysisfeature selectionimage classificationbiologymultivariatehierarchytabular datatextdocument datamachine learningstatisticsmodellingsimulation applications
46,sets set visualization sets intersections set attributes set relationships multidimensional datavisual knowledge discovery visual knowledge representation sport analytics visual aggregationvisual analytics design experimentation human factorsdesign information visualization dynamic visualization dynamic data data stream real time metaphorimmersive analytics3d visualizationdynamic queriesbimanual interactionmultidimensional dataconcrete scale scale cognition visual comparison graphic composition visual notationdesign methodologiesrapid prototypinggraphic designmockupstoolkit designtransformersvisual question answeringvisual analytics
47,sets set visualization sets intersections set attributes set relationships multidimensional datavisualization taxonomy information visualization memorabilityvisualizationmachine learningrecurrent neural networkslstmranking visualization ranking scoring multiattribute multifactorial multifaceted stacked bar chartsinformation visualization design study bioinformatics syntenyinformation visualization memorability recognition recall eyetracking studyquantitative evaluation qualitative evaluation biomedical and medical visualizationaugmented reality3d interactionuser studyimmersive displaysexplainable aivisual debuggingvisual analyticsmachine learningdeep learningnlppetascale volume exploration highresolution microscopy highthroughput imaging neurosciencesegmentation neuroscience connectome volume rendering implicit surface rendering graphics hardwareinformation graphicsvisualizationdesign tools2d graphicsspatial data temporal data gene expressionaugmented realityvirtual realityimmersive visualizationimmersive analyticsvisualization toolkitsampling meshing visualizationsprovenance data graphnetwork data hierarchy data quantitative evaluation gender differencesconnectomics neuroscience query algebra visual knowledge discovery petascale volume analysisvolume visualization unstructured grids moving least squares reconstruction adaptive integrationmultiple coordinated views visual linking relationships heterogeneous data categorical datapathway visualization biological networks subsets graphs biomolecular dataconnectomics neuroscience data abstraction multitrees focuscontextgigapixel viewer biomedical image processing gpu texture compressionproofreading segmentation connectomics quantitative evaluationtext highlighting techniques visual document analytics text annotation crowdsourced studyempty space skippingvolume renderingsegmented volume datahybrid imageobjectorder approachesdomainspecific language volume rendering gpu computing distributed heterogeneous systemsnonlinear narrativestorytellingvisualizationeducationhierarchiesinformation visualizationneuroscience segmentation proofreading data and provenance trackingconnectomicsneurosciencedata abstractioninteractive 3d visualizationinteractive small multiplesmatrix comparisonbiomedical visualizationgenomicsmachine perceptiongraphical perceptiondeep learningconvolutional neural networksmultirelational data visual data analysis drug discoveryhumancomputer collaborationdeep learningneural networksinteraction designhumancentered designbiology visualization protein isoforms mrnaseq directed acyclic graphs multivariate networksguided navigationpattern explorationmultiscale visualizationsgigapixel imagesgeospatial mapsgenomicsclusteringclassificationvisual analysismultiplex tissue imagingdigital pathologycancer systems biologyhighcontent screeningvisual analysisfeature selectionimage classificationbiologymultivariatehierarchyhierarchical cullingsegmented volume databloom filtervolume renderingspatial queriesvisual analyticsmatrixblackbox algorithmsseriationorderingsortingsteerable algorithminteraction2d projectionimmersive analyticsinformation visualizationvirtual realitynavigationoverviewdetailzoomingscatterplotvisual analyticssimilarity measure selectionrelevance feedbackactive learningselforganizing mapsinformation visualizationsmall multiplesinteractive pilingvisual aggregationspatial organizationflow visualizationobserver fieldsframes of referenceobjectivitysymmetry groupsintrinsic covariant derivativeshistopathologyfocuscontextimage analysistabular datatextdocument datamachine learningstatisticsmodellingsimulation applications
48,analytic activity taxonomy knowledge discovery design evaluationinformation visualization analytic gap theory framework evaluation knowledge tasks
49,analytic activity taxonomy knowledge discovery design evaluationgraph label placement dynamic animation graph visualization information visualization
50,analytic activity taxonomy knowledge discovery design evaluationinformation visualization analytic gap theory framework evaluation knowledge tasksinformation visualization context treemap distortion query financial data stock market fundexplore
51,visual analytics investigative analysis intelligence analysis information visualization multiple views
52,visual analytics investigative analysis intelligence analysis information visualization multiple viewsmental model modelbased reasoning distributed cognition interaction theory information visualizationinteraction latency exploratory analysis interactive visualization scalability user performance verbal analysisinformation visualization distributed cognition interaction representation theory and methodsevent sequencesclickstream datasequence miningvisual analyticsinformation graphicsvisualizationdesign tools2d graphicsinvestigative analysis transaction analysis information visualization multiple views time series data multiple attributes categorical datacritical reflectionvisualization authoringexpressivitylearnabilityreusabilitysensemaking semantic graph layout visual analytics network diagnosis information visualizationdocument readingcontextual visualizationsvisual aidscomprehensionsummarizationsequential pattern miningtemporal queryevent sequence exploration
53,visual analytics investigative analysis intelligence analysis information visualization multiple views
54,surface simplification multiresolution modeling level of detail quadric error metric edge contraction surface properties discontinuity preservationsurface simplification massive meshes quadric error metric recursive partitioning outofcore simplificationmultiphase simplification quadric error metrics massive meshes outofcore simplificationpixelexact visualization pixel shaders spacetime finite elements discontinuous galerkin methods
55,surface simplification multiresolution modeling level of detail quadric error metric edge contraction surface properties discontinuity preservation
56,design study methodology visualization frameworkevaluation validation systematic review visualization scientific visualization information visualizationinteractive visualizationmachine learningvisual analyticsdimensionality reductionparameter space analysis inputoutput model simulation task characterization literature analysisdimensionality reduction scatterplots quantitative studyvisual analytics infrastructures integration interactive algorithms user involvement problem subdivisionlabelingvisualinteractive labelinginformation visualizationvisual analyticsactive learningmachine learningclassificationevaluationexperimentdimensionality reductioninformation visualization lifelogging design study music listening history timelines photos calendarsdata analysisresearch themesresearch topicstaxonomyvisualization historytheorywordleconsistencytext visualizationnetwork visualization change management traffic routing traffic optimization automotive design studyperceptionanchoringbiasscatterplotsvisualizationmturk studygraph visualizationstress majorizationconstraintscolor perceptionvisual designscatterplotsgraph visualizationfocuscontext techniquestructureaware zoomgraph layout techniquescagnosticsscatterplotssensitivity analysisrobust scagnosticsstreamgraphssine illusionreadabilitycolor palettediscriminabilitymulticlass scatterplotline chartbar chartsituated visualizationevaluationcomparisondesign studyinteractive labelinginteractive clusteringh52 information interfaces and presentationuser interfacesgraphical user interfaces guiusercentered design
57,design study methodology visualization frameworkinformation visualization design study bioinformatics syntenydesign frameworks process cybersecurity nested model decisions models evaluation visualizationisosurface extraction particle systems delaunay triangulationspatial data temporal data gene expressionsampling meshing visualizationsvisualization in the humanities design studies text and document data graphnetwork datavolume visualization unstructured grids moving least squares reconstruction adaptive integrationdesign study weather geographicgeospatial visualization ensemble dataillustrationvisualizationiterationgeographicgeospatial visualizationqualitative evaluationcolor perceptionperceptual cognitiondesign studyrelativisminterpretivismknowledge constructionqualitative researchresearch through designamr querydriven visualization multitemporal visualizationusercentered visualization designdesign studiescreativity workshopscritically reflective practiceimplicit errorknowledge externalizationdesign studygraph visualizationdata abstractiondata wranglinghumancentered computing information visualizationhumancentered computing visualization systems and toolsinformation systems graphbased database modelsmethodologiesapplication motivated visualizationguidelineslife sciences visualizationhealthmedicinebiologybioinformaticsgenomicspersonal visualizationpersonal visual analyticspersonal informaticsinterview methods
67,largescale multivariate data visualization hierarchical data exploration parallel coordinatesbrushing hierarchical representation interactive selection exploratory data analysis
