author,id
Michael Bostock,0
Vadim Ogievetsky,1
Jeffrey Heer,2
B. Johnson,3
B. Shneiderman,4
A. Inselberg,5
B. Dimsdale,6
M. Duchaineau,7
M. Wolinsky,8
D.E. Sigeti,9
M.C. Miller,10
C. Aldrich,11
M.B. Mineev-Weinstein,12
J. Kruger,13
R. Westermann,14
M. Pauly,15
M. Gross,16
L.P. Kobbelt,17
Danny Holten,18
H. Hoppe,19
M. Alexa,20
J. Behr,21
D. Cohen-Or,22
S. Fleishman,23
D. Levin,24
C.T. Silva,25
Ji Soo Yi,26
Youn ah Kang,27
John Stasko,28
Edward Segel,29
J. Heer,30
D. Boyd,31
Fernanda B. Viegas,32
Martin Wattenberg,33
Frank van Ham,34
Jesse Kriss,35
Matt McKeon,36
C. Stolte,37
P. Hanrahan,38
Tamara Munzner,39
E.H. Chi,40
G.M. Nielson,41
B. Hamann,42
Alexander Lex,43
Nils Gehlenborg,44
Hendrik Strobelt,45
Romain Vuillemot,46
Hanspeter Pfister,47
R. Amar,48
J. Eagan,49
J. Stasko,50
Carsten Gorg,51
Zhicheng Liu,52
Kanupriya Singhal,53
M. Garland,54
P.S. Heckbert,55
Michael Sedlmair,56
Miriah Meyer,57
E. Zhang,58
M.O. Ward,59
J.A. Wise,60
J.J. Thomas,61
K. Pennock,62
D. Lantrip,63
M. Pottier,64
A. Schur,65
V. Crow,66
Ying-Huey Fua,67
E.A. Rundensteiner,68
G. Kindlmann,69
R. Whitaker,70
T. Tasdizen,71
T. Moller,72
George Robertson,73
Nathalie Henry,74
Jean-Daniel Fekete,75
Michael J. McGuffin,76
Nivan Ferreira,77
Jorge Poco,78
Huy T. Vo,79
Juliana Freire,80
Cláudio T. Silva,81
C.L. Bajaj,82
V. Pascucci,83
D.R. Schikore,84
J. Kniss,85
C. Hansen,86
Matthew Brehmer,87
Lee Byron,88
R. Raskar,89
M.S. Brown,90
Ruigang Yang,91
Wei-Chao Chen,92
G. Welch,93
H. Towles,94
B. Scales,95
H. Fuchs,96
C. Plaisant,97
J. Grosjean,98
B.B. Bederson,99
R. Pajarola,100
Niklas Elmqvist,101
Pierre Dragicevic,102
S.K. Card,103
J. Mackinlay,104
Jonathan Feinberg,105
P. Lindstrom,106
J.C. Xia,107
A. Varshney,108
M. Ghoniem,109
J.-D. Fekete,110
P. Castagliola,111
D. Ebert,112
P. Rheingans,113
T. Munzner,114
G. Turk,115
M. Weber,116
W. Muller,117
Jock Mackinlay,118
Pat Hanrahan,119
Chris Stolte,120
Michelle A. Borkin,121
Azalea A. Vo,122
Zoya Bylinskii,123
Phillip Isola,124
Shashank Sunkavalli,125
Aude Oliva,126
J.J. Van Wijk,127
E.R. Van Selow,128
Zachary Pousman,129
Michael Mateas,130
Ben Shneiderman,131
Aleks Aris,132
S. Parker,133
P. Shirley,134
Y. Livnat,135
P.-P. Sloan,136
J.J. van Wijk,137
H. Van de Wetering,138
Roland Fernandez,139
Danyel Fisher,140
Bongshin Lee,141
Weiwei Cui,142
Shixia Liu,143
Li Tan,144
Conglei Shi,145
Yangqiu Song,146
Zekai Gao,147
Huamin Qu,148
Xin Tong,149
S.R. Marschner,150
R.J. Lobb,151
Marco Tarini,152
Paolo Cignoni,153
Claudio Montani,154
Fernanda B. Viégas,155
E. LaMar,156
K.I. Joy,157
Geoffrey Ellis,158
Alan Dix,159
R.S. Avila,160
L.M. Sobierajski,161
Doantam Phan,162
Ling Xiao,163
R. Yeh,164
Maneesh Agrawala,165
C.G. Healey,166
J. LeBlanc,167
N. Wittels,168
S. Wehrend,169
C. Lewis,170
Ka-Ping Yee,171
D. Fisher,172
R. Dhamija,173
M. Hearst,174
Sean Kandel,175
Andreas Paepcke,176
Joseph M. Hellerstein,177
Jean-daniel Fekete,178
Hong Zhou,179
Pak Chung Wong,180
Xiaoming Li,181
L. Bavoil,182
S.P. Callahan,183
P.J. Crossno,184
J. Freire,185
C.E. Scheidegger,186
H.T. Vo,187
U. Clarenz,188
U. Diewald,189
M. Rumpf,190
F. Evans,191
S. Skiena,192
T. Kapler,193
W. Wright,194
Alan M. MacEachren,195
Anuj Jaiswal,196
Anthony C. Robinson,197
Scott Pezanowski,198
Alexander Savelyev,199
Prasenjit Mitra,200
Xiao Zhang,201
Justine Blanford,202
M. Wattenberg,203
A.R. Rao,204
G.L. Lohse,205
D.A. Keim,206
H.-P. Kriegel,207
M. Ankerst,208
Jessica Hullman,209
Nick Diakopoulos,210
Christopher Collins,211
Gerald Penn,212
Sheelagh Carpendale,213
James Abello,214
Frank Van Ham,215
Neeraj Krishnan,216
M. Tory,217
W.J. Schroeder,218
K.M. Martin,219
W.E. Lorensen,220
S. Berchtold,221
Taosong He,222
Lichan Hong,223
A. Kaufman,224
H. Pfister,225
Zuchao Wang,226
Min Lu,227
Xiaoru Yuan,228
Junping Zhang,229
Huub van de Wetering,230
Arvind Satyanarayan,231
Dominik Moritz,232
Kanit Wongsuphasawat,233
D. Weinstein,234
E. Lundberg,235
P. Hoffman,236
G. Grinstein,237
K. Marx,238
I. Grosse,239
E. Stanley,240
J.P.M. Hultquist,241
S. Havre,242
B. Hetzler,243
L. Nowell,244
H. Hauser,245
F. Ledermann,246
H. Doleisch,247
S. Guthe,248
M. Wand,249
J. Gonser,250
W. Strasser,251
Anushka Anand,252
Bill Howe,253
Wei Peng,254
Ed Huai-Hsin Chi,255
J.T. Riedl,256
David Gotz,257
Michelle X. Zhou,258
D.F. Jerding,259
J.T. Stasko,260
P. Burchard,261
S. Osher,262
Adam Perer,263
Mengchen Liu,264
Jiaxin Shi,265
Zhen Li,266
Chongxuan Li,267
Jun Zhu,268
Christian Tominski,269
Heidrun Schumann,270
Gennady Andrienko,271
Natalia Andrienko,272
M.M. Chow,273
Junghoon Chae,274
Dennis Thom,275
Harald Bosch,276
Yun Jang,277
Ross Maciejewski,278
David S. Ebert,279
Thomas Ertl,280
Peter Lindstrom,281
Martin Isenburg,282
C. Montani,283
R. Scateni,284
R. Scopigno,285
D. Koller,286
W. Ribarsky,287
L.F. Hodges,288
N. Faust,289
G. Turner,290
A. Boltman,291
M. Zockler,292
D. Stalling,293
H.-C. Hege,294
Wesley Willett,295
C. Ahlberg,296
E. Wistrand,297
D. Auber,298
Y. Chiricota,299
F. Jourdan,300
G. Melancon,301
H.-W. Shen,302
L.-J. Chiang,303
K.-L. Ma,304
Matej Novotny,305
Helwig Hauser,306
Sebastian Gehrmann,307
Alexander M. Rush,308
O. Sorkine,309
R. Goldenthal,310
D. Lischinski,311
Waqas Javed,312
Bryan McDonnel,313
Nicholas Diakopoulos,314
Mor Naaman,315
Funda Kivran-Swaine,316
D. Gotz,317
J. Hensley,318
Dominik Sacha,319
Andreas Stoffel,320
Florian Stoffel,321
Bum Chul Kwon,322
Daniel A. Keim,323
Tobias Isenberg,324
Petra Isenberg,325
Jian Chen,326
Torsten Möller,327
Megan Monroe,328
Rongjian Lan,329
Hanseung Lee,330
Catherine Plaisant,331
Jaegul Choo,332
Changhyun Lee,333
Chandan K. Reddy,334
Haesun Park,335
Salvatore Rinzivillo,336
Mirco Nanni,337
Dino Pedreschi,338
Fosca Giannotti,339
Enrico Bertini,340
Andrada Tatu,341
Daniel Keim,342
R.J. Hendley,343
N.S. Drew,344
A.M. Wood,345
R. Beale,346
C. Weaver,347
U.D. Bordoloi,348
S. Bryson,349
C. Levit,350
O. Deussen,351
C. Colditz,352
M. Stamminger,353
G. Drettakis,354
L.D. Bergman,355
B.E. Rogowitz,356
L.A. Treinish,357
Jo Wood,358
Jason Dykes,359
Aidan Slingsby,360
Keith Clarke,361
S. Bruckner,362
M.E. Groller,363
Han-Wei Shen,364
C.D. Hansen,365
C.R. Johnson,366
H. Carr,367
J. Snoeyink,368
M. van de Panne,369
Marian Dörk,370
Daniel Gruen,371
Carey Williamson,372
R. Shekhar,373
E. Fayyad,374
R. Yagel,375
J.F. Cornhill,376
H. Childs,377
E. Brugger,378
K. Bonnell,379
J. Meredith,380
M. Miller,381
B. Whitlock,382
N. Max,383
R.M. Kirby,384
H. Marmanis,385
D.H. Laidlaw,386
I. Viola,387
A. Kanitsar,388
Nathalie Henry Riche,389
Amy K. Karlson,390
Sheelash Carpendale,391
U. Brandes,392
S.R. Corman,393
Jibonananda Sanyal,394
Song Zhang,395
Jamie Dyer,396
Andrew Mercer,397
Philip Amburn,398
Robert Moorhead,399
Samuel Gratzl,400
Marc Streit,401
H. Levkowitz,402
M. Hadwiger,403
C. Berger,404
M. Weiler,405
M. Kraus,406
M. Merz,407
T. Ertl,408
G. Humphreys,409
R. Klein,410
G. Liebich,411
D. Fleischmann,412
R. Wegenkittl,413
P. Felkel,414
E. Groller,415
S. Rottger,416
M. Isenburg,417
M. Cox,418
D. Ellsworth,419
Robert E. Roth,420
James O'Brien,421
Bonan Li,422
Derek Swingley,423
Mark Gahegan,424
Han Chen,425
R. Sukthankar,426
G. Wallace,427
Kai Li,428
Daniel Smilkov,429
James Wexler,430
Jimbo Wilson,431
Dandelion Mané,432
Doug Fritz,433
Dilip Krishnan,434
F. van Ham,435
M.J. McGuffin,436
L. Tancau,437
R. Balakrishnan,438
Carlos Correa,439
Kwan-Liu Ma,440
Michael Burch,441
Daniel Weiskopf,442
A.R. Martin,443
P. Whitney,444
J. Thomas,445
A. Buja,446
J.A. McDonald,447
J. Michalak,448
W. Stuetzle,449
V. Verma,450
D. Kao,451
A. Pang,452
Ivan Viola,453
Miquel Feixas,454
Mateu Sbert,455
Meister Eduard Groller,456
Lars Grammel,457
Melanie Tory,458
Margaret-Anne Storey,459
Chaomei Chen,460
S. Morris,461
W.C. de Leeuw,462
Wei Li,463
K. Mueller,464
Lauro Lins,465
James T. Klosowski,466
Carlos Scheidegger,467
Attila Gyulassy,468
Peer-Timo Bremer,469
Bernd Hamann,470
Valerio Pascucci,471
Krist Wongsuphasawat,472
Minsuk Kahng,473
Pierre Y. Andrews,474
Aditya Kalro,475
Duen Horng (Polo) Chau,476
M.H. Gross,477
R. Gatti,478
O. Staadt,479
M. Chalmers,480
P. Cignoni,481
F. Ganovelli,482
E. Gobbetti,483
F. Marton,484
F. Ponchio,485
V. Interrante,486
C. Grosch,487
Milos Krstajic,488
Jing Yang,489
A. Globus,490
T. Lasinski,491
Z.J. Wood,492
M. Desbrun,493
P. Schroder,494
D. Breen,495
H. Theisel,496
T. Weinkauf,497
H.-P. Seidel,498
Jens Kruger,499
Jens Schneider,500
Rudiger Westermann,501
Yingcai Wu,502
Furu Wei,503
Norman Au,504
A. Hubeli,505
M. Balzer,506
T.A. Keahey,507
E.L. Robertson,508
Yehuda Koren,509
L. Carmel,510
D. Harel,511
Sung-Eui Yoon,512
B. Salomon,513
R. Gayle,514
D. Manocha,515
E.T. Ahrens,516
D. Kremers,517
M.J. Avalos,518
R.E. Jacobs,519
C. Readhead,520
Chaoli Wang,521
Hongfeng Yu,522
U. Tiede,523
T. Schiemann,524
K.H. Hohne,525
Fan-Yin Tzeng,526
E.B. Lum,527
Nancy Nersessian,528
Leishi Zhang,529
Michael Behrisch,530
Sebastian Mittelstadt,531
Tobias Schreck,532
René Pompl,533
Stefan Weber,534
Holger Last,535
A. Telea,536
S. Takahashi,537
I. Fujishiro,538
Y. Takeshima,539
T. Nishita,540
A.O. Artero,541
M.C.F. de Oliveira,542
Christoph Garth,543
Florian Gerhardt,544
Xavier Tricoche,545
Hagen Hans,546
R. Peikert,547
M. Roth,548
E. Shaffer,549
N. Wong,550
S. Carpendale,551
S. Greenberg,552
D. Laney,553
P.-t. Bremer,554
A. Mascarenhas,555
P. Miller,556
B. Moberts,557
A. Vilanova,558
R. Kosara,559
S. Miksch,560
E. Gansner,561
Y. Koren,562
S. North,563
L. Wilkinson,564
A. Anand,565
R. Grossman,566
Ying Tu,567
D. Tang,568
Corinna Vehlow,569
Fabian Beck,570
Stephan Diehl,571
Enxun Wei,572
Yang Liu,573
Z. Shi,574
Peihong Guo,575
He Xiao,576
J. Carriere,577
