community,id
0.0,6782
0.0,6783
0.0,6784
1.0,2
1.0,3
2.0,1574
2.0,1575
18.0,3237
18.0,3238
18.0,3239
18.0,3240
18.0,3241
18.0,3242
4.0,4417
4.0,4418
5.0,5482
5.0,5483
5.0,5484
54.0,5485
5.0,5487
5.0,5488
5.0,5489
5.0,5490
5.0,5954
5.0,5955
6.0,6522
6.0,6785
7.0,6740
0.0,6741
8.0,6786
8.0,6787
0.0,6788
0.0,6789
0.0,6790
0.0,6791
0.0,6792
0.0,39
0.0,3264
6.0,106
1.0,107
9.0,108
18.0,553
10.0,109
11.0,760
10.0,761
11.0,762
10.0,6523
24.0,6524
24.0,6525
24.0,860
7.0,861
7.0,939
7.0,128
13.0,1209
13.0,763
14.0,1302
15.0,1303
24.0,1304
17.0,1305
16.0,1306
16.0,1307
16.0,1308
16.0,1343
16.0,1344
16.0,1345
16.0,3243
17.0,3244
17.0,3245
18.0,1735
19.0,920
18.0,1206
5.0,534
11.0,1207
6.0,6074
11.0,2051
6.0,6075
20.0,6076
20.0,6077
20.0,3246
20.0,3247
20.0,3248
18.0,3249
18.0,3250
18.0,1208
18.0,6793
18.0,3251
11.0,3252
0.0,3253
19.0,3254
19.0,3255
19.0,3256
19.0,3257
19.0,3258
19.0,1576
19.0,1577
19.0,2199
2.0,2310
2.0,533
21.0,4
23.0,5
17.0,6794
11.0,1589
1.0,5491
1.0,5492
0.0,1578
2.0,1579
5.0,1580
5.0,3293
2.0,1745
2.0,783
2.0,5493
18.0,5494
22.0,6795
21.0,6796
24.0,6797
5.0,110
5.0,111
0.0,112
0.0,113
0.0,114
10.0,115
10.0,2617
10.0,2618
10.0,6526
10.0,6527
10.0,5956
23.0,5957
23.0,3259
7.0,3260
7.0,3261
24.0,3262
24.0,2619
18.0,921
18.0,922
18.0,923
18.0,2696
23.0,2697
23.0,2698
11.0,2699
11.0,2700
11.0,2701
25.0,2702
25.0,2703
25.0,3126
25.0,3127
25.0,3158
25.0,3159
25.0,3160
25.0,6798
26.0,3263
26.0,3265
27.0,1915
27.0,1916
27.0,5495
0.0,5496
18.0,6799
18.0,6800
14.0,6801
14.0,6802
5.0,1346
5.0,1347
0.0,3197
0.0,3198
0.0,6
0.0,7
101.0,8
17.0,9
17.0,6803
28.0,6804
28.0,6805
1.0,1210
1.0,2704
1.0,767
1.0,2705
0.0,5497
0.0,5498
0.0,5499
6.0,5500
25.0,5501
24.0,5502
25.0,2620
5.0,2621
5.0,2622
5.0,5503
5.0,5504
5.0,3475
5.0,3476
23.0,1726
23.0,1727
23.0,1728
5.0,1729
5.0,1730
29.0,1731
29.0,1732
22.0,1733
22.0,3541
22.0,3542
