community,edge_count,node_count
0,1,2
1,63,32
2,338,152
3,782,238
4,264,67
5,865,285
6,421,120
7,598,155
8,1,2
9,409,136
10,62,29
11,1463,301
12,733,187
13,187,58
14,13,9
15,1135,249
16,129,61
17,21,7
18,314,94
19,143,46
20,339,105
21,22,8
22,1068,243
23,198,64
24,1226,272
25,103,49
26,2230,398
27,1,2
28,12,7
29,1,2
30,1,2
31,1,2
32,176,45
33,3,3
34,3,3
35,696,170
36,321,65
37,1,2
38,1177,266
39,59,15
40,110,31
41,298,97
42,1460,326
43,6,4
44,100,36
45,435,118
46,386,113
47,4,4
48,16,8
49,10,6
50,6,4
51,19,10
52,1,2
53,74,33
54,24,7
55,88,32
56,272,88
57,7,6
58,3,3
59,2,2
60,763,221
61,3,3
62,6,4
63,279,125
64,7,6
65,3,3
66,36,7
67,19,10
68,62,29
69,150,40
70,12,6
71,1,2
72,7,5
73,9,6
74,4,4
75,14,10
76,6,4
77,42,15
78,2,3
79,16,8
80,6,4
81,2,3
82,13,5
83,3,3
84,6,4
85,12,8
86,3,3
87,1,2
88,10,5
89,3,3
90,11,6
91,3,3
92,6,4
93,2,3
94,18,12
95,1,2
96,28,8
97,6,4
98,136,49
99,7,6
100,1,2
101,6,4
102,10,8
103,1,2
104,1,2
105,4,4
106,3,3
107,91,14
108,1,2
109,2,2
110,20,9
111,149,39
112,174,50
113,4,4
114,3,3
115,17,8
116,7,4
117,6,4
118,1,2
119,3,3
120,3,3
121,1,2
122,6,4
123,1,2
124,3,3
125,6,4
126,1,2
127,1,2
128,1,2
129,43,16
130,6,4
131,1,2
132,15,8
133,3,3
134,6,5
135,1,2
136,4,3
137,13,7
138,2,3
139,10,5
140,7,6
141,7,4
142,20,11
143,6,4
144,1,2
145,1,2
146,1,2
147,23,9
148,10,5
149,15,6
150,15,6
151,15,6
152,8,5
153,1,2
154,1,2
155,6,4
156,1,2
157,1,2
158,6,4
159,6,4
160,3,3
161,1,2
162,1,2
163,1,2
164,30,10
165,1,2
166,6,4
167,3,3
168,3,3
169,7,4
170,3,3
171,1,2
172,2,2
173,6,4
174,1,2
175,3,3
176,1,2
177,13,7
178,6,4
179,10,5
180,18,10
181,3,3
182,1,2
183,1,2
184,6,4
185,3,3
186,6,4
187,7,6
188,15,6
189,1,2
190,3,3
191,3,3
192,1,2
193,12,7
194,1,2
195,7,5
196,10,5
197,85,17
198,1,2
199,3,3
200,6,4
201,1,2
202,3,3
203,3,3
204,6,5
205,15,7
206,10,5
207,1,2
208,1,2
209,6,4
210,6,5
211,23,9
212,3,3
213,15,6
214,1,2
215,1,2
216,1,2
217,10,5
218,1,2
219,3,3
220,21,7
221,15,6
222,1,2
223,18,8
224,3,3
225,1,2
226,6,4
227,10,5
228,1,2
229,1,2
230,36,9
231,3,3
232,11,5
233,15,6
234,3,3
235,1,2
236,2,3
237,5,4
238,3,3
239,3,3
240,15,6
241,3,4
242,1,2
243,20,8
244,10,5
245,3,3
246,6,4
247,3,3
248,1,2
249,3,4
250,3,3
251,10,5
252,3,3
253,1,2
254,3,3
255,3,3
256,3,3
257,3,3
258,1,2
259,3,3
260,1,2
261,6,4
262,1,2
263,1,2
264,4,4
265,18,8
266,3,3
267,1,2
268,6,3
269,1,2
270,1,2
271,6,4
272,6,4
273,3,3
274,1,2
275,6,4
276,1,2
277,1,2
278,3,3
279,6,4
280,3,3
281,3,3
282,16,8
283,1,2
284,1,2
285,1,2
286,3,3
287,1,2
288,3,3
289,4,4
290,1,2
291,3,3
292,3,3
293,1,2
294,15,6
295,1,2
296,3,3
297,16,7
298,16,8
299,1,2
300,15,6
301,24,8
302,1,2
303,68,23
304,10,5
305,3,3
306,6,4
307,6,4
308,13,7
309,1,2
310,1,2
311,3,3
312,1,2
313,10,5
314,36,9
315,3,3
316,3,3
317,6,4
318,1,2
319,12,7
320,6,4
321,1,2
322,3,3
323,12,4
324,45,10
325,3,3
326,1,2
327,18,4
328,1,2
329,1,2
330,3,3
331,1,2
332,3,3
333,12,6
334,1,2
335,1,2
336,3,3
337,1,2
338,1,2
339,6,4
340,1,2
341,1,2
342,3,3
343,1,2
344,9,6
345,1,2
346,1,2
347,1,2
348,1,2
349,10,5
350,20,9
351,1,2
352,10,5
353,1,2
354,3,3
355,1,2
356,1,2
357,10,5
358,6,4
359,4,4
360,6,4
361,6,4
362,10,5
363,1,2
364,3,3
365,1,2
366,1,2
367,15,6
368,3,3
369,15,6
370,3,3
371,6,4
372,1,2
373,3,3
374,3,3
375,10,5
376,3,3
377,6,4
378,1,2
379,10,5
380,6,4
381,3,3
382,3,3
383,6,4
384,1,2
385,3,3
386,6,4
387,6,4
388,1,2
389,3,3
390,1,2
391,1,2
392,12,4
393,3,3
394,1,2
395,4,3
396,6,4
397,3,3
398,15,6
399,1,2
400,10,5
401,11,5
402,1,2
403,6,4
404,6,4
405,6,4
406,1,2
407,3,3
408,7,4
409,3,3
410,1,2
411,1,2
412,1,2
413,1,2
414,3,3
415,36,9
416,1,2
417,18,6
418,10,5
419,6,4
420,3,3
421,1,2
422,6,4
423,1,2
424,1,2
425,3,3
426,9,6
427,3,3
428,10,5
429,3,3
430,1,2
431,21,7
432,23,8
433,3,3
434,1,2
435,1,2
436,10,5
437,1,2
438,10,5
439,1,2
440,1,2
441,15,6
442,1,2
443,10,5
444,3,3
445,1,2
446,1,2
447,28,8
448,10,5
449,10,5
450,15,6
451,3,3
452,36,9
453,21,7
454,15,6
455,1,2
456,15,6
457,1,2
458,1,2
459,10,5
